,id,ref,label,elevation,latitude,longitude,type,class,area,street,postCode,labelCommune,startDate,stopDate
57,MPNT,83006,Martigues Laurons,6.0,43.35898333333318,5.0233888888888485,0,Industrielle,Industriel,Centrale EDF Martigues Ponteau,13117,MARTIGUES,1976-11-01T00:00:00Z,2030-12-31T00:00:00Z
58,PDBE,83037,Port de Bouc Milan,25.0,43.43069444444416,4.985416666666439,0,Urbaine,De fond,Avenue Maurice Thorez,13110,PORT de BOUC,1984-01-01T00:00:00Z,2023-01-13T14:00:00Z
59,PDBL,83008,Port de Bouc Leque  ,3.0,43.40195277777772,4.981919444444314,0,Urbaine,De fond,Caserne des Marins Pompiers,13110,PORT de BOUC,1976-10-01T00:00:00Z,2030-12-31T00:00:00Z
60,PEILLO,83221,PEILLON,196.0,43.786583333333304,7.373272222221833,0,Périurbaine,Industriel,Quartier des Novaines - RD 21- boulevard de la vallee,06400,PEILLON,2002-11-30T00:00:00Z,2030-12-31T00:00:00Z
61,PENHUV,83137,La Pennesurhuveaune,75.0,43.28334444444436,5.511374999999857,0,Périurbaine,De fond,GYMNASE LA COLOMBE,13821,LA PENNE SUR HUVEAUNE,1995-07-01T00:00:00Z,2030-12-31T00:00:00Z
62,PONTET,83184,LE PONTET,21.0,43.96014444444393,4.8567222222220225,0,Périurbaine,De fond,Avenue Charles De Gaule- Parking Ecole Primaire Pasteur,84130,LE PONTET,1998-08-25T00:00:00Z,2030-12-31T00:00:00Z
63,PSTL,83009,Port Saint Louis    ,1.0,43.39378055555506,4.801024999999957,0,Industrielle,Industriel,Avenue du port Stade,13230,PORT SAINT LOUIS du RHONE,1977-01-01T00:00:00Z,2030-12-31T00:00:00Z
64,RABATA,83106,MARSEILLE RABATAU,17.0,43.27645277777731,5.39734999999966,0,Trafic,Trafic,93 BOULEVARD RABATAU,13008,MARSEILLE,1981-12-16T00:00:00Z,2030-12-31T00:00:00Z
65,RBRT,83020,Rognac Barjaquets ,49.0,43.510802777777386,5.220047222222115,0,Industrielle,Industriel,Ecole Gerald Kraemer,13340,ROGNAC,1982-02-01T00:00:00Z,2030-12-31T00:00:00Z
66,SSLP,83021,Sausset les Pins    ,11.0,43.33124444444407,5.117697222221896,0,Industrielle,Industriel,Avenue de la Cote Bleue,13960,SAUSSET les PINS,1989-02-01T00:00:00Z,2030-12-31T00:00:00Z
67,STLOUI,83114,MARSEILLE ST LOUIS,59.0,43.348049999999546,5.360108333333196,0,Urbaine,De fond,16 RUE LE CHATELIER,13015,MARSEILLE,1981-11-23T00:00:00Z,2030-12-31T00:00:00Z
68,TOUFOC,83168,TOULON FOCH,6.0,43.12682222222191,5.921597222221758,0,Trafic,Trafic,Avenue Lieutenant Pianelli,83000,TOULON,2002-02-01T00:00:00Z,2030-12-31T00:00:00Z
69,TOULONLAVALETTE,83164,TOULON LA VALETTE,62.0,43.13220552166886,5.992204615862348,0,Périurbaine,De fond,Avenue de l universite - Dans les locaux ISITV,83000,LA VALETTE DU VAR,1999-07-17T00:00:00Z,2030-01-27T13:00:00Z
